metric,n_C121,n_I121,mean_C121,mean_I121,median_C121,median_I121,delta_mean_C121_minus_I121,cliffs_delta_C121_vs_I121,mannwhitneyu_pvalue
region_buried_atom_fraction_sasa_lt_5,9,13,0.6363650382189139,0.623911028741354,0.6265060240963856,0.6144578313253012,0.012454009477559924,0.21367521367521367,0.4161434281454527
region_buried_atom_fraction_sasa_lt_10,9,13,0.7325970548760253,0.7175162187320863,0.7228915662650602,0.7108433734939759,0.01508083614393907,0.3162393162393162,0.22136788332853174
region_neighbor_contacts_4A,9,13,326.0005555587399,335.9357692423346,321.0,326.0,-9.935213683594668,-0.05982905982905983,0.8412192411771064
region_neighbor_unique_partner_atoms_4A,9,13,65.39094444682962,66.26623107580812,64.20650000000283,67.0,-0.8752866289785004,-0.20512820512820512,0.44226048533866236
region_neighbor_contacts_6A,9,13,2075.6282777825827,2108.641769264267,2087.0,2098.0,-33.01349148168447,-0.042735042735042736,0.8937535902043922
region_neighbor_unique_partner_atoms_6A,9,13,162.06127777778076,162.39046153692294,163.9725000000082,164.77550000000772,-0.32918375914218245,-0.1282051282051282,0.6399915862639474
region_centroid_local_atom_density_6A_per_nm3,9,13,61.90768082410112,62.93193323921511,61.57030550202611,62.44621031036172,-1.0242524151139918,-0.4188034188034188,0.10449724959818692
region_nearest_symmetry_atom_distance,9,13,2.735342794182821,2.7513822019340375,2.7815725767989634,2.7881438269931516,-0.016039407751216483,-0.09401709401709402,0.7384623534985825
region_median_symmetry_atom_distance,9,13,5.114502519132471,5.1113221845005095,5.118879410185116,5.112612200449636,0.0031803346319616566,-0.008547008547008548,1.0
region_b_iso_mean,9,13,19.411718399196413,24.80387731536179,18.034698762089374,19.69296386442989,-5.3921589161653785,-0.23076923076923078,0.3853315267895524
global_b_iso_mean,9,13,20.158471603433796,23.4217295896626,17.27392995719411,20.416502384477827,-3.2632579862288047,-0.1623931623931624,0.5478383165397469
region_b_iso_ratio_to_global,9,13,0.9586475234056331,1.0242375316205548,0.9336935154888754,0.9790112749852984,-0.06559000821492167,-0.29914529914529914,0.25628023724432436
region_b_iso_zscore_vs_global,9,13,-0.08445166595095843,0.04336224288600317,-0.14660928682672164,-0.036927839597049476,-0.1278139088369616,-0.29914529914529914,0.25628023724432436
region_occ_mean,9,13,0.9141735221240607,0.9856316373900703,1.0,1.0,-0.07145811526600965,-0.1794871794871795,0.3948769806438823
region_occ_lt1_fraction,9,13,0.17165295536392775,0.02873672591633997,0.0,0.0,0.14291622944758778,0.1794871794871795,0.39466023223383817
region_altloc_atom_fraction,9,13,0.17165295536392775,0.02873672591633997,0.0,0.0,0.14291622944758778,0.1794871794871795,0.39466023223383817
region_altloc_residue_fraction,9,13,0.1234567901234568,0.034188034188034185,0.0,0.0,0.0892687559354226,0.17094017094017094,0.4185106476033903
region_map_fraction_above_threshold,0,0,,,,,,,
region_map_gradient_sharpness,0,0,,,,,,,
region_map_local_variance,0,0,,,,,,,
loose_packing_score,9,13,0.028833262481558746,-0.019961489410309508,0.028959768718884327,0.15243297163879047,0.04879475189186826,-0.1282051282051282,0.6401805361005117
